System;D;u_min;u_max;Kp;Tn;Tv;Tf;GM;GM_dB;PM_deg;omega_c;Ms;wMs;idx_i_fromFile;idx_j_fromFile
PT2;0;-10;10;9.973304515;4.545077959;0.483106422;0.01;7.38E-06;-102.6392928;65.8872175;5.366491609;1.04609987;26.75203594;9;4
PT2;0;-5;5;10;5.222762461;0.492006446;0.01;6.38E-06;-103.9071491;66.55644809;5.459959347;1.046504192;28.01314314;9;3
PT2;0;-3;3;10;6.128348121;0.488851984;0.01;5.85E-06;-104.6564626;66.42438089;5.441612907;1.046382513;27.62869296;9;2
PT2;0;-2;2;9.97819473;7.226896753;0.48852405;0.01;5.41E-06;-105.3398161;66.43065031;5.435582486;1.046297945;27.50171898;9;1
PT2;0.1;-10;10;9.99277358;4.632156899;0.470387813;0.1;Inf;Inf;45.24890735;5.40264822;1.49432537;7.537360803;8;4
PT2;0.1;-5;5;9.965053296;5.124253139;0.461670763;0.1;Inf;Inf;45.13069878;5.3407357;1.493888291;7.433918653;8;3
PT2;0.1;-3;3;9.98275053;6.201441256;0.470498852;0.1;Inf;Inf;45.39174919;5.408858482;1.492228225;7.572160399;8;2
PT2;0.1;-2;2;9.949859618;7.289925351;0.459746303;0.1;Inf;Inf;45.24609714;5.333242353;1.491706841;7.433918653;8;1
PT2;0.2;-10;10;10;4.678343044;0.454154722;0.05;Inf;Inf;58.62520879;5.312241734;1.218484625;10.69688469;7;4
PT2;0.2;-5;5;9.973913057;5.252388302;0.452265224;0.05;Inf;Inf;58.60363194;5.292423122;1.217956112;10.64772471;7;3
PT2;0.2;-3;3;10;6.342987596;0.457688813;0.05;Inf;Inf;58.89094345;5.352348404;1.218307427;10.79588661;7;2
PT2;0.2;-2;2;10;7.630781266;0.46204991;0.05;Inf;Inf;59.11137917;5.391603579;1.218361513;10.94611017;7;1
PT2;0.3;-10;10;10;4.563069093;0.422853116;0.033333333;Inf;Inf;63.42443595;5.002295568;1.135547337;12.92045535;6;4
PT2;0.3;-5;5;9.996334468;5.321317749;0.435278632;0.033333333;Inf;Inf;64.17758179;5.104032157;1.135956234;13.46735538;6;3
PT2;0.3;-3;3;10;6.46177284;0.441781066;0.033333333;Inf;Inf;64.5905463;5.164575542;1.136285493;13.7177954;6;2
PT2;0.3;-2;2;9.958309494;7.705204544;0.431944844;0.033333333;Inf;Inf;64.14668391;5.078635453;1.135347695;13.34385519;6;1
PT2;0.4;-10;10;9.968139322;4.640180222;0.411568819;0.025;Inf;Inf;66.97498668;4.840331377;1.096151758;15.67829474;5;4
PT2;0.4;-5;5;9.985707126;5.439601997;0.425876031;0.025;Inf;Inf;67.92978328;4.964727979;1.09702003;16.49317724;5;3
PT2;0.4;-3;3;10;6.498088243;0.414083515;0.025;Inf;Inf;67.33576923;4.890091355;1.096426386;15.89645647;5;2
PT2;0.4;-2;2;9.990137532;7.946378053;0.416100091;0.025;Inf;Inf;67.53505059;4.909537038;1.096439475;16.04358152;5;1
PT2;0.5;-10;10;9.962151394;4.737266607;0.400835387;0.02;Inf;Inf;69.74047005;4.699641479;1.073491798;18.50618201;4;4
PT2;0.5;-5;5;10;5.364904469;0.393317616;0.02;Inf;Inf;69.34109469;4.66702519;1.073308055;18.08482575;4;3
PT2;0.5;-3;3;10;6.562032804;0.38951447;0.02;Inf;Inf;69.20394981;4.650310797;1.073121857;17.75465869;4;2
PT2;0.5;-2;2;9.955765535;8.162423655;0.403165896;0.02;Inf;Inf;70.18466151;4.741960586;1.073542004;18.76369347;4;1
PT2;0.6;-10;10;10;4.629759809;0.368600167;0.016666667;Inf;Inf;70.51021984;4.422585497;1.057986785;19.46804451;3;4
PT2;0.6;-5;5;10;5.273576885;0.359408048;0.016666667;Inf;Inf;69.90714732;4.368893704;1.057703528;18.50618201;3;3
PT2;0.6;-3;3;10;6.761061682;0.381590321;0.016666667;Inf;Inf;71.74413506;4.535916604;1.058523393;20.76487554;3;2
PT2;0.6;-2;2;9.94971404;8.370442301;0.380408591;0.016666667;Inf;Inf;71.75055149;4.518632133;1.058236547;20.57445463;3;1
PT2;0.7;-10;10;9.999082136;4.656508752;0.3509834;0.014285714;Inf;Inf;72.00234689;4.24165974;1.047409245;21.24867397;2;4
PT2;0.7;-5;5;9.968858233;5.439260344;0.355833054;0.014285714;Inf;Inf;72.53350401;4.274205565;1.04746569;21.84413409;2;3
PT2;0.7;-3;3;10;6.822544706;0.35229385;0.014285714;Inf;Inf;72.43815768;4.274323801;1.047439363;21.5443469;2;2
PT2;0.7;-2;2;9.968937956;8.59249079;0.349696335;0.014285714;Inf;Inf;72.36451371;4.257317667;1.047236724;21.15102082;2;1
PT2;1;-10;10;10;4.740315667;0.298343562;0.01;Inf;Inf;75.3752621;3.712331165;1.028891789;24.39758483;1;4
PT2;1;-5;5;9.992514371;5.518643087;0.288148636;0.01;Inf;Inf;74.58603057;3.66729707;1.028852404;20.86074587;1;3
PT2;1;-3;3;9.999846287;7.314843992;0.301708719;0.01;Inf;Inf;76.22972054;3.758686253;1.028940818;25.31342074;1;2
PT2;1;-2;2;9.999543285;9.53511584;0.288407315;0.01;Inf;Inf;75.18963215;3.698937049;1.028842263;21.15102082;1;1
