System;n;u_min;u_max;Kp;Tn;Tv;Tf;GM;GM_dB;PM_deg;omega_c;Ms;wMs;idx_n_fromFile;idx_j_fromFile
PTn;1;-10;10;10;0.999433455;0;0.01;Inf;Inf;89.99678429;10.00005614;0.9999995;10000;1;4
PTn;1;-5;5;10;1.277376914;0;0.01;Inf;Inf;91.23664172;9.98074262;0.999999478;10000;1;3
PTn;1;-3;3;10;1.987184396;0;0.01;Inf;Inf;92.84023324;9.962687028;0.99999945;10000;1;2
PTn;1;-2;2;10;3.11506535;0;0.01;Inf;Inf;93.88921056;9.955098412;0.999999432;10000;1;1
PTn;2;-10;10;9.97462006;4.667309842;0.292181801;0.01;Inf;Inf;74.73517162;3.670896512;1.02879347;22.25034935;2;4
PTn;2;-5;5;10;5.504580393;0.285348859;0.01;Inf;Inf;74.29886783;3.65478433;1.028927411;19.73894018;2;3
PTn;2;-3;3;9.960987616;7.288123088;0.30211043;0.01;Inf;Inf;76.26502104;3.749201248;1.028862131;25.31342074;2;2
PTn;2;-2;2;10;9.560797402;0.297239776;0.01;Inf;Inf;76.03398006;3.746315241;1.028860469;24.17385075;2;1
PTn;3;-10;10;9.965401407;9.805508145;0.712298865;0.010000033;22.79577732;27.15708812;33.73828132;2.548945533;2.01753469;2.999986358;3;4
PTn;3;-5;5;8.286358979;9.821453009;0.715386981;0.010000033;27.39934475;28.75480354;37.49126374;2.302444723;1.872335512;2.799701809;3;3
PTn;3;-3;3;6.85402564;9.858623807;0.706355919;0.010000033;33.17764455;30.416911;41.56964041;2.053404767;1.748677765;2.600780953;3;2
PTn;3;-2;2;5.720388816;9.94781798;0.694201446;0.010000033;39.82232666;32.00253261;45.81025438;1.832147915;1.647658152;2.415993569;3;1
PTn;4;-10;10;2.243781484;5.300603447;1.153216908;0.010002192;3.437324982;10.72441189;58.5304915;0.813257114;1.79974028;1.261900918;4;4
PTn;4;-5;5;2.271451924;5.519356429;1.165382813;0.010002192;3.390603413;10.6055399;57.84150774;0.82997791;1.814595305;1.273580077;4;3
PTn;4;-3;3;2.304003652;5.662752356;1.175857711;0.010002192;3.338363168;10.4706716;56.96521938;0.846512337;1.832158511;1.285367329;4;2
PTn;4;-2;2;1.914176447;5.04697234;1.111817107;0.010002192;4.043137929;12.13437115;68.54661296;0.672905053;1.643020455;1.205092143;4;1
PTn;5;-10;10;1.404810908;4.982699639;1.425255796;0.010009538;2.764512485;8.832371112;76.46344335;0.383021632;1.774107749;0.864936543;5;4
PTn;5;-5;5;1.420494366;5.15010444;1.447914936;0.010009538;2.723017338;8.701008131;77.19356764;0.390971183;1.79150346;0.872941713;5;3
PTn;5;-3;3;1.422021412;5.228726042;1.458135636;0.010009538;2.714901775;8.675082428;77.71961216;0.39229521;1.794695953;0.876972038;5;2
PTn;5;-2;2;1.426560518;5.274102002;1.460680196;0.010009538;2.704630739;8.642159592;77.77249432;0.39481439;1.799413599;0.876972038;5;1
PTn;6;-10;10;1.040219276;4.942137017;1.618801592;0.010029489;2.71305205;8.669162515;75.39839405;0.230006909;1.7006767;0.653060984;6;4
PTn;6;-5;5;1.039015187;5.058430931;1.641046014;0.010029489;2.706570668;8.648387417;76.81168618;0.226751147;1.701864535;0.659105201;6;3
PTn;6;-3;3;1.042046144;5.121419735;1.643163547;0.010029489;2.696646949;8.616481828;77.36082488;0.226306024;1.705767135;0.659105201;6;2
PTn;6;-2;2;1.039457993;5.143434206;1.653236006;0.010029489;2.699418519;8.62540446;77.74116388;0.2249004;1.704066904;0.662148255;6;1
